% CRSP stock data 
% all returns and dividend growth are net, i.e. a 10 percent return is 0.10. 
% d/p is a fraction, i.e. a 4 percent d/p ratio is 0.040. 
% you can load this file into matlab with the statements 
% load ps1.txt; dates = ps1(:,1); ret = ps1(:,2); dp = ps1(:,3), etc. 
    % Date        Return           D/P      D growth   T-bill ret. 
  19261231    0.09690300    0.05265264           NaN    0.03602600 
  19271231    0.33428100    0.04855006    0.17335045    0.03091700 
  19281231    0.39048800    0.04024562    0.10805218    0.04442700 
  19291231   -0.15024400    0.03825669   -0.22200232    0.04921900 
  19301231   -0.28816300    0.04801354   -0.14754788    0.02748700 
  19311231   -0.44357400    0.06300148   -0.31315215    0.00707000 
  19321231   -0.08473300    0.07071564   -0.04051464    0.00871300 
  19331230    0.57503300    0.04253245   -0.09133252    0.00465500 
  19341231    0.04269700    0.04189370   -0.01425845    0.00330100 
  19351231    0.44837400    0.04215013    0.39830094    0.00161900 
  19361231    0.32152400    0.04458309    0.33814529    0.00186000 
  19371231   -0.34610800    0.05610218   -0.22087047    0.00444200 
  19381231    0.28155800    0.04416160   -0.03386995    0.00043600 
  19391230    0.02115900    0.04886261    0.07722556    0.00017300 
  19401231   -0.07445100    0.06002238    0.07255839    0.00019200 
  19411231   -0.09628300    0.07231112    0.01532130   -0.00681000 
  19421231    0.16299700    0.07034869    0.05707124    0.00395300 
  19431231    0.28055900    0.05253039   -0.09151113    0.00407300 
  19441230    0.21352700    0.05095662    0.12009438    0.00397700 
  19451231    0.38445800    0.04145093    0.08137074    0.00399600 
  19461231   -0.05900300    0.04229794   -0.07874200    0.00382200 
  19471231    0.03379000    0.05722984    0.32301962    0.00570400 
  19481231    0.02336800    0.06491569    0.09004318    0.00859400 
  19491231    0.20102400    0.07100219    0.22654485    0.01140800 
  19501230    0.30023200    0.07156620    0.22303267    0.01200300 
  19511231    0.20827000    0.05843387   -0.06791197    0.01568100 
  19521231    0.13293500    0.05523686    0.01489089    0.01907200 
  19531231    0.00353000    0.05698935   -0.02045473    0.02221300 
  19541231    0.50175900    0.04922508    0.23630116    0.01127900 
  19551230    0.25303300    0.04167851    0.01848495    0.01597600 
  19561231    0.08473700    0.04036641    0.00982489    0.02777900 
  19571231   -0.10373100    0.04334277   -0.07762426    0.03751600 
  19581231    0.44834200    0.03960028    0.27287664    0.02053400 
  19591231    0.12599500    0.03283153   -0.09614273    0.03586600 
  19601230    0.01156000    0.03474766    0.03464565    0.03843200 
  19611229    0.26944300    0.02955804    0.04884760    0.02520700 
  19621231   -0.10318100    0.03434440    0.00744175    0.02941500 
  19631231    0.20887600    0.03234765    0.10291645    0.03256700 
  19641231    0.16303800    0.03061345    0.06799106    0.03769900 
  19651231    0.14386000    0.03056021    0.10800980    0.04069500 
  19661230   -0.08688800    0.03388882   -0.02062193    0.05204300 
  19671229    0.28566600    0.03079312    0.13332346    0.04743700 
  19681231    0.14168900    0.02928213    0.05478096    0.05549700 
  19691231   -0.10836200    0.03092648   -0.08654180    0.06977200 
  19701231    0.00072200    0.03602025    0.12502310    0.07825700 
  19711231    0.16198900    0.02999878   -0.06044506    0.04940900 
  19721229    0.17340600    0.02699727    0.02824193    0.04211600 
  19731231   -0.18747900    0.03081976   -0.10016825    0.07153700 
  19741231   -0.27941200    0.04525753    0.01233745    0.08511700 
  19751231    0.37358200    0.04202837    0.22412771    0.06864700 
  19761231    0.26769300    0.03981367    0.15491034    0.05675800 
  19771230   -0.02976900    0.04662522    0.08560692    0.05413800 
  19781229    0.08544800    0.05087322    0.12700805    0.07361200 
  19791231    0.24409200    0.05176161    0.20352122    0.10602500 
  19801231    0.33239200    0.04807948    0.18083647    0.12593600 
  19811231   -0.03986400    0.04768701   -0.09104673    0.16460500 
  19821231    0.20421600    0.05406451    0.29523734    0.13198500 
  19831230    0.22650300    0.04040211   -0.11903392    0.09331700 
  19841231    0.03162000    0.04360792    0.06694916    0.11115400 
  19851231    0.31411300    0.03914077    0.13506893    0.08526600 
  19861231    0.15561900    0.03375666   -0.03589010    0.06749900 
  19871231    0.01830900    0.03232174   -0.05550499    0.06639600 
  19881230    0.17555400    0.04050756    0.41592027    0.06860600 
  19891229    0.28432100    0.03552061    0.08757466    0.09031100 
  19901231   -0.06083600    0.03646300   -0.06983569    0.08437800 
  19911231    0.33643600    0.03093413    0.09977235    0.06385400 
  19921231    0.09064600    0.02777689   -0.04713672    0.03916600 
  19931231    0.11588900    0.02564553    0.00450418    0.03248000 
  19941230   -0.00757300    0.02611858   -0.01499392    0.04277500 
  19951229    0.35672100    0.02387779    0.21139829    0.06092200 
  19961231    0.21178600    0.02028898    0.00918068    0.05414500 
  19971231    0.30352300    0.01689490    0.06742668    0.05494300 
  19981231    0.22259600    0.01458818    0.04049141    0.05302600 
  19991231    0.25264900    0.01309958    0.11028274    0.04922700 
  20001229   -0.11050300    0.01113445   -0.25226602    0.06152200 
  20011231   -0.11264800    0.01346448    0.05878580    0.04480900 
  20021231   -0.20842700    0.01627951   -0.05826289    0.01795100 
  20031231    0.33142800    0.01801405    0.44721759    0.01160400 
  20041231    0.12996400    0.01939713    0.19356833    0.01308000 
  20051230    0.07316900    0.01828255   -0.00665713    0.03079000 
  20061229    0.16207400    0.01895111    0.18216537    0.04835400 
  20071231    0.07313300    0.01904224    0.05814391    0.05086300 
  20081231   -0.38299000    0.02372277   -0.24914288    0.02044600 
  20091231    0.31618600    0.02505899    0.35633384    0.00223200 
  20101231    0.17887000    0.02153254   -0.00838002    0.00128600 
  20111230   -0.00900600    0.02100333   -0.05324673    0.00099000 
  20121231    0.15977500    0.02530701    0.36292674    0.00107900 
